id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
315,YLR438W,sce01110
316,YIL148W,sce04120
317,YDR503C,sce01110
318,YIL074C,sce00270
319,YOL126C,sce00270
320,YGR256W,sce00480
321,YEL030W,sce03018
322,YKL035W,sce01250
323,YDR069C,sce04144
324,YNCK0007W,sce00970
325,YDR399W,sce00230
326,YGR019W,sce00250
327,YNCO0020C,sce00970
328,YML082W,sce01230
329,YHR141C,sce03010
330,YPR049C,sce04138
331,YFL045C,sce00520
332,YPR184W,sce01110
333,YNCP0008C,sce00970
334,YNCL0049C,sce00970
335,YPR007C,sce04113
336,YJL092W,sce03420
337,YHR216W,sce00230
338,YMR313C,sce00561
339,YDL160C,sce03018
340,YDR516C,sce00052
341,YGR148C,sce03010
342,YOL094C,sce03420
343,YFR031C,sce04111
344,YLL031C,sce00563
345,YFL045C,sce01110
346,YBR249C,sce00400
347,YNCL0036C,sce00970
348,YDR256C,sce01200
349,YDR058C,sce00561
350,YCL017C,sce01240
351,YML124C,sce04145
352,YCR053W,sce01230
353,YDL207W,sce03013
354,YHR063C,sce01240
355,YEL020C,sce04146
356,YBR252W,sce01232
357,YPL120W,sce04136
358,YDR234W,sce00300
359,YDL168W,sce00350
360,YNR052C,sce03018
361,YOL059W,sce01110
362,YNCD0016C,sce00970
363,YJR022W,sce03040
364,YMR118C,sce01110
365,YOR025W,sce00760
366,YIL004C,sce04130
367,YOL005C,sce03020
368,YEL015W,sce03018
369,YPL149W,sce04136
370,YBR279W,sce04011
371,YER037W,sce00561
372,YHR215W,sce00730
373,YDR460W,sce03420
374,YHR216W,sce01110
375,YIL026C,sce04111
376,YCL009C,sce00770
377,YIL160C,sce01212
378,YLR181C,sce04144
379,YDL171C,sce01110
380,YGR043C,sce01200
381,YIR032C,sce00230
382,YKL106W,sce01230
383,YDL064W,sce04120
384,YLR027C,sce01210
385,YGL094C,sce03018
386,YDL045C,sce00740
387,YAL005C,sce04144
388,YPR173C,sce04144
389,YGR286C,sce01240
390,YOL062C,sce04144
391,YLR286C,sce00520
392,YML035C,sce01232
393,YOL126C,sce01200
394,YDR052C,sce04111
395,YOR081C,sce00565
396,YDR305C,sce00230
397,YDR059C,sce04120
398,YBL078C,sce04136
399,YKL008C,sce00600
400,YNCG0041W,sce00970
401,YLL006W,sce04139
402,YER087C-B,sce04145
403,YKR089C,sce00592
404,YDR502C,sce01240
405,YDL245C,sce04113
406,YHR190W,sce00100
407,YKL152C,sce01200
408,YJL194W,sce04111
409,YER094C,sce03050
410,YHR046C,sce01110
411,YGR119C,sce03013
412,YNL312W,sce03440
413,YCL031C,sce03008
414,YAL010C,sce04139
415,YLR299W,sce00480
416,YPR069C,sce00270
417,Q0045,sce00190
418,YMR084W,sce00250
419,YBR160W,sce04011
420,YGL184C,sce01110
421,YMR043W,sce04011
422,YOR293W,sce03010
423,YCL040W,sce01110
424,YJR019C,sce01040
425,YDL244W,sce00730
426,YDR395W,sce03013
427,YJR016C,sce01210
428,YDR420W,sce04011
429,YDL078C,sce00020
430,YMR077C,sce04144
431,YDR310C,sce04113
432,YDL052C,sce01110
433,YLR080W,sce04141
434,YJR132W,sce03013
435,YDL108W,sce03022
436,YOR391C,sce00620
437,YNCD0019C,sce00970
438,YKL016C,sce00190
439,YKL106W,sce01210
440,YNCK0021W,sce00970
441,YIL124W,sce00565
442,YPL106C,sce04141
443,YEL029C,sce00750
444,YNL073W,sce00970
445,YBR082C,sce04141
446,YER087C-B,sce04141
447,YMR207C,sce00640
448,YGR227W,sce00510
449,YKR067W,sce01110
450,YMR084W,sce00520
451,YBR181C,sce03010
452,YMR250W,sce00430
453,YGR240C,sce00680
454,YNCJ0029W,sce00970
455,YLR153C,sce00630
456,YHR104W,sce00040
457,YNCP0019W,sce00970
458,YCR039C,sce04113
459,YLR420W,sce01240
460,YLR059C,sce03008
461,YLR006C,sce04139
462,YAL038W,sce01110
463,YGL226C-A,sce00510
464,YLR182W,sce04113
465,YEL022W,sce04144
466,YNCL0030W,sce03010
467,YGL009C,sce01230
468,YOR388C,sce00630
469,YAL033W,sce03008
470,YGR255C,sce00130
471,YOL120C,sce03010
472,YLR335W,sce03013
473,YLR268W,sce04130
474,YNR001C,sce00020
475,YKR031C,sce00565
476,YDR121W,sce03410
477,YLR369W,sce03018
478,YER172C,sce03040
479,YAL058W,sce04145
480,YDR245W,sce00513
481,YIL149C,sce03013
482,YDL080C,sce01110
483,YPL111W,sce01230
484,YDR389W,sce04011
485,YLR182W,sce04111
486,YBR097W,sce04138
487,YPR193C,sce00470
488,YNR058W,sce01240
489,YNL241C,sce00030
490,YJR043C,sce03030
491,YNR041C,sce00130
492,YBR283C,sce03060
493,YOL096C,sce00130
494,YOL056W,sce00260
495,YGR017W,sce01240
496,YNCG0020C,sce00970
497,YMR197C,sce04138
498,YLR164W,sce00190
499,YOL068C,sce00760
500,YNCB0016W,sce00970
501,YCR046C,sce03010
502,YJR148W,sce00770
503,YNCL0018W,sce03008
504,YDL161W,sce04144
505,YDR009W,sce00052
506,YFL018C,sce00260
507,YPL281C,sce03018
508,YNCO0029C,sce00970
509,YAL061W,sce00650
510,YKL188C,sce02010
511,YMR054W,sce00190
512,YML130C,sce04141
513,YNL242W,sce04136
514,YDR481C,sce01240
515,YGR019W,sce00410
516,YOL033W,sce00970
517,YJR005W,sce04144
518,YCR003W,sce03010
519,YBR003W,sce00900
520,YNCG0036W,sce00970
521,YBR145W,sce00071
522,YBR256C,sce01110
523,YHR008C,sce04146
524,YLR153C,sce00680
525,YPL183W-A,sce03010
526,YMR278W,sce00520
527,YNCH0016C,sce00970
528,YJL121C,sce01200
529,YBR052C,sce00130
530,YNCG0046W,sce00970
531,YAL044C,sce01200
532,YLR438C-A,sce03018
533,YNL312W,sce03420
534,YFL011W,sce04113
535,YOL090W,sce03430
536,YMR226C,sce00260
537,YPL061W,sce00071
538,YLL042C,sce04138
539,YNL071W,sce00620
540,YKL150W,sce00520
541,YOL013C,sce04120
542,YAL023C,sce00514
543,YLR307W,sce00520
544,YJL196C,sce01040
545,YBR044C,sce03018
546,YMR105C,sce01250
547,YNCN0010C,sce00970
548,YDL229W,sce04144
549,YOL126C,sce00620
550,YCL017C,sce04122
551,YHR123W,sce00565
552,YNCO0009W,sce00970
553,YHR137W,sce01110
554,YNL104C,sce01230
555,YGL009C,sce01210
556,YGR175C,sce01110
557,YKL184W,sce00480
558,YLR263W,sce04113
559,YHR174W,sce01110
560,YBR131W,sce04138
561,YOL143C,sce01240
562,YAL005C,sce04141
563,YPR073C,sce00730
564,YKL029C,sce01200
565,YPL258C,sce01240
566,YOR254C,sce03060
